,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,average_tweets_per_day,account_age_days,label,location_known,length,contains_emoji,contains_tag,contains_at,contains_link
720,1,0,10550,345,1645,0,29452,0,12.895,2284,0,1,48,0,0,0,0
721,1,0,256,81,214,0,15869,0,3.946,4022,0,0,39,0,0,0,0
722,0,0,8038,36484,1012,1,56532,1,13.113,4311,0,0,157,0,0,1,0
723,0,0,6111,184,99,0,6172,0,2.313,2668,0,0,124,0,0,0,0
724,0,0,1487,2157,1141,1,12765,0,3.055,4178,0,0,108,0,0,1,0
725,0,0,40418,264723,1140,1,50406,0,12.464,4044,0,0,110,0,0,0,0
726,0,0,26013,230773,67258,1,40954,1,9.933,4123,0,0,70,0,0,0,0
727,0,0,3681,289,454,1,3993,0,0.987,4047,0,0,37,0,0,0,0
728,1,0,1094,76,223,0,1384,0,0.461,3001,0,1,60,0,0,0,0
729,0,0,1694,1249,194,1,3277,0,0.785,4172,0,0,62,0,0,0,0
730,0,0,18892,842,600,0,1498,0,0.537,2791,0,0,131,0,1,0,0
731,1,0,8629,230,550,1,30243,0,10.906,2773,0,0,91,0,0,0,0
732,1,0,1194,136,467,1,394,0,0.235,1680,0,0,159,0,0,0,0
733,0,0,14107,3123,683,1,18376,1,3.632,5060,0,0,112,0,1,0,0
734,0,0,11,21,0,0,159,0,0.045,3528,0,0,151,0,0,1,0
735,1,0,20,711342,361,0,5873,0,1.907,3080,0,1,133,0,0,0,0
736,0,0,114,1665871,50,0,1880,1,0.531,3539,0,0,46,0,0,1,0
737,0,0,73881,2367,4999,0,64742,0,15.95,4059,0,0,153,0,1,0,0
738,0,0,3484,109,583,1,5043,0,1.31,3849,0,0,83,0,0,0,0
739,0,0,16507,17405,256,1,36693,1,8.387,4375,0,0,119,0,0,1,0
740,0,0,30043,369,871,1,8295,0,2.328,3563,0,0,47,0,0,0,0
741,1,0,15401,508,84,1,66711,0,55.042,1212,0,0,39,0,0,1,0
742,0,0,53628,618660,2506,1,42796,1,10.428,4104,0,0,128,0,1,1,0
743,0,0,8763,3888,2618,1,31594,0,7.478,4225,0,0,123,0,1,1,0
744,0,0,6,265107,609,0,20684,1,5.248,3941,0,0,121,0,0,1,1
745,0,0,46320,511,2493,1,19888,0,5.856,3396,0,0,125,0,0,1,0
746,0,0,148268,143229,4671,1,61657,1,14.203,4341,0,0,134,0,0,1,0
747,0,0,150,13207,8415,1,23055,0,6.151,3748,0,0,136,0,1,0,0
748,0,0,4065,111533,10319,1,5413,1,1.313,4122,0,0,99,0,0,0,0
749,0,0,55769,5408,1526,1,11722,1,2.887,4060,0,0,127,0,1,1,0
750,1,0,288,0,0,0,769,0,0.438,1754,0,1,59,0,0,0,0
751,0,0,32158,1095,1661,1,42757,0,11.305,3782,0,0,49,0,0,0,0
752,0,0,5253,210,919,1,11849,0,3.145,3767,0,0,40,0,0,0,0
753,0,0,58202,767,747,1,23002,0,6.149,3741,0,0,44,0,0,0,0
754,0,0,230,47,420,0,4347,0,1.046,4156,0,0,29,0,0,0,0
755,0,0,7065,3017,823,1,10729,0,2.528,4244,0,0,137,0,1,1,0
756,1,0,28,69,0,1,797,0,0.261,3050,0,1,17,0,0,0,0
757,0,0,114,371,199,0,77877,0,20.333,3830,0,0,55,0,0,0,0
758,1,0,190316,909,215,1,39090,0,11.714,3337,0,0,83,0,0,1,0
759,0,0,2130,200894,198748,1,55110,0,12.482,4415,0,0,151,0,0,1,0
760,0,0,783,43439,997,0,17144,0,4.515,3797,0,0,64,0,0,0,0
761,0,0,1448,12841,893,1,16260,1,3.864,4208,0,1,160,0,0,0,0
762,1,0,7990,105,398,1,2278,0,0.57,3998,0,0,48,0,0,0,0
763,0,0,15836,11070,4893,1,13677,1,3.182,4298,0,0,151,0,0,1,1
764,0,0,885123,143511,9797,1,60165,0,18.45,3261,0,0,148,0,0,1,0
765,0,0,717,65,129,0,1725,0,0.548,3145,0,0,130,0,0,0,0
766,0,0,9379,3394,3057,1,2290,1,0.63,3637,0,0,156,0,0,1,0
767,0,0,18260,1485,468,1,13550,0,3.798,3568,0,0,95,0,0,0,0
768,0,0,23513,551,371,1,77687,0,24.522,3168,0,0,20,0,0,0,0
769,0,0,2886,5064261,107,1,20137,1,5.103,3946,0,0,68,0,0,0,0
770,0,0,1887,29,99,1,5521,0,1.508,3661,0,0,31,0,0,0,0
771,1,0,130,1,0,0,301,0,0.208,1445,0,1,11,0,0,0,0
772,0,0,4085,285,903,1,3811,0,1.085,3512,0,0,146,0,0,0,0
773,1,0,3403,330,1321,1,4130,0,1.489,2774,0,0,145,0,0,0,0
774,0,0,176355,12207,1365,1,44007,1,9.102,4835,0,0,114,0,0,1,0
775,0,0,51200,2184,2626,1,32628,0,9.217,3540,0,0,139,0,1,1,0
776,0,0,117823,83,296,0,7022,0,2.526,2780,0,0,128,0,0,1,0
777,0,0,4864,1530,772,1,21567,0,5.477,3938,0,0,23,0,0,1,0
778,0,0,888,63,232,1,1220,0,0.294,4144,0,0,22,0,0,0,0
779,0,0,1450,1635,153,1,9696,0,6.022,1610,0,0,142,0,1,0,0
780,0,0,5658,888,840,1,3087,0,0.768,4019,0,0,156,0,0,1,0
781,0,0,15031,3668,3696,0,15638,0,4.492,3481,0,0,153,0,1,0,0
782,0,0,41740,1621,2137,1,24209,0,8.311,2913,0,0,144,0,1,0,0
783,0,0,863,112,122,1,1631,0,0.425,3841,0,0,102,0,0,0,0
784,0,0,3445,7466,1303,0,18783,1,6.331,2967,0,1,143,0,1,0,1
785,1,0,5466,38962,827,1,8001,1,1.908,4193,0,1,120,0,0,0,0
786,0,0,1792,3807466,187,0,32014,1,8.409,3807,0,0,157,0,0,0,0
